inst.name,inst.jobs,inst.machines,inst.opt.bound.lower,inst.opt.bound.upper,inst.solutions.num
abz5,10,10,1234,1234,480
abz6,10,10,943,943,2159
abz7,20,15,656,656,0
abz8,20,15,648,665,0
abz9,20,15,678,678,0
dmu01,20,15,2501,2563,0
dmu02,20,15,2651,2706,0
dmu03,20,15,2731,2731,0
dmu04,20,15,2601,2669,0
dmu05,20,15,2749,2749,0
dmu06,20,20,3042,3244,0
dmu07,20,20,2828,3046,0
dmu08,20,20,3051,3188,0
dmu09,20,20,2956,3092,0
dmu10,20,20,2858,2984,0
dmu11,30,15,3395,3430,0
dmu12,30,15,3481,3495,0
dmu13,30,15,3681,3681,0
dmu14,30,15,3394,3394,0
dmu15,30,15,3343,3343,0
dmu16,30,20,3734,3751,0
dmu17,30,20,3709,3814,0
dmu18,30,20,3844,3844,0
dmu19,30,20,3672,3768,0
dmu20,30,20,3604,3710,0
dmu21,40,15,4380,4380,0
dmu22,40,15,4725,4725,0
dmu23,40,15,4668,4668,0
dmu24,40,15,4648,4648,0
dmu25,40,15,4164,4164,0
dmu26,40,20,4647,4647,0
dmu27,40,20,4848,4848,0
dmu28,40,20,4692,4692,0
dmu29,40,20,4691,4691,0
dmu30,40,20,4732,4732,0
dmu31,50,15,5640,5640,0
dmu32,50,15,5927,5927,1
dmu33,50,15,5728,5728,1
dmu34,50,15,5385,5385,0
dmu35,50,15,5635,5635,1
dmu36,50,20,5621,5621,0
dmu37,50,20,5851,5851,0
dmu38,50,20,5713,5713,0
dmu39,50,20,5747,5747,0
dmu40,50,20,5577,5577,0
dmu41,20,15,3007,3248,0
dmu42,20,15,3224,3390,0
dmu43,20,15,3292,3441,0
dmu44,20,15,3299,3488,0
dmu45,20,15,3039,3272,0
dmu46,20,20,3575,4035,0
dmu47,20,20,3522,3939,0
dmu48,20,20,3447,3763,0
dmu49,20,20,3403,3710,0
dmu50,20,20,3496,3729,0
dmu51,30,15,3954,4167,0
dmu52,30,15,4094,4311,0
dmu53,30,15,4141,4394,0
dmu54,30,15,4202,4362,0
dmu55,30,15,4146,4271,0
dmu56,30,20,4554,4941,0
dmu57,30,20,4302,4655,0
dmu58,30,20,4319,4708,0
dmu59,30,20,4219,4624,0
dmu60,30,20,4319,4755,0
dmu61,40,15,4917,5172,0
dmu62,40,15,5041,5265,0
dmu63,40,15,5111,5326,0
dmu64,40,15,5130,5250,0
dmu65,40,15,5107,5190,0
dmu66,40,20,5397,5717,0
dmu67,40,20,5589,5813,0
dmu68,40,20,5426,5773,0
dmu69,40,20,5423,5709,0
dmu70,40,20,5501,5889,0
dmu71,50,15,6080,6223,0
dmu72,50,15,6395,6483,0
dmu73,50,15,6001,6163,0
dmu74,50,15,6123,6220,0
dmu75,50,15,6029,6197,0
dmu76,50,20,6342,6813,0
dmu77,50,20,6499,6822,0
dmu78,50,20,6586,6770,0
dmu79,50,20,6650,6970,0
dmu80,50,20,6459,6686,0
ft06,6,6,55,55,53
ft10,10,10,930,930,13120
ft20,20,5,1165,1165,3
la01,10,5,666,666,278505
la02,10,5,655,655,66989
la03,10,5,597,597,720
la04,10,5,590,590,83284
la05,10,5,593,593,692
la06,15,5,926,926,6
la07,15,5,890,890,6
la08,15,5,863,863,6
la09,15,5,951,951,9
la10,15,5,958,958,9
la11,20,5,1222,1222,6
la12,20,5,1039,1039,6
la13,20,5,1150,1150,7
la14,20,5,1292,1292,7
la15,20,5,1207,1207,6
la16,10,10,945,945,189632
la17,10,10,784,784,833178
la18,10,10,848,848,42158
la19,10,10,842,842,960
la20,10,10,902,902,14016
la21,15,10,1046,1046,0
la22,15,10,927,927,0
la23,15,10,1032,1032,1
la24,15,10,935,935,0
la25,15,10,977,977,0
la26,20,10,1218,1218,1
la27,20,10,1235,1235,0
la28,20,10,1216,1216,1
la29,20,10,1152,1152,0
la30,20,10,1355,1355,1
la31,30,10,1784,1784,3
la32,30,10,1850,1850,4
la33,30,10,1719,1719,4
la34,30,10,1721,1721,3
la35,30,10,1888,1888,4
la36,15,15,1268,1268,0
la37,15,15,1397,1397,0
la38,15,15,1196,1196,0
la39,15,15,1233,1233,0
la40,15,15,1222,1222,0
orb01,10,10,1059,1059,9120
orb02,10,10,888,888,504
orb03,10,10,1005,1005,248
orb04,10,10,1005,1005,96
orb05,10,10,887,887,288
orb06,10,10,1010,1010,32
orb07,10,10,397,397,162
orb08,10,10,899,899,373020
orb09,10,10,934,934,108270
orb10,10,10,944,944,15951
swv01,20,10,1407,1407,0
swv02,20,10,1475,1475,0
swv03,20,10,1398,1398,0
swv04,20,10,1464,1464,0
swv05,20,10,1424,1424,0
swv06,20,15,1630,1671,0
swv07,20,15,1513,1594,0
swv08,20,15,1671,1752,0
swv09,20,15,1633,1655,0
swv10,20,15,1663,1743,0
swv11,50,10,2983,2983,0
swv12,50,10,2972,2977,0
swv13,50,10,3104,3104,0
swv14,50,10,2968,2968,0
swv15,50,10,2885,2885,0
swv16,50,10,2924,2924,5
swv17,50,10,2794,2794,6
swv18,50,10,2852,2852,4
swv19,50,10,2843,2843,3
swv20,50,10,2823,2823,3
ta01,15,15,1231,1231,1
ta02,15,15,1244,1244,0
ta03,15,15,1218,1218,0
ta04,15,15,1175,1175,0
ta05,15,15,1224,1224,0
ta06,15,15,1238,1238,0
ta07,15,15,1227,1227,0
ta08,15,15,1217,1217,0
ta09,15,15,1274,1274,0
ta10,15,15,1241,1241,0
ta11,20,15,1357,1357,0
ta12,20,15,1367,1367,0
ta13,20,15,1342,1342,0
ta14,20,15,1345,1345,0
ta15,20,15,1339,1339,0
ta16,20,15,1360,1360,0
ta17,20,15,1462,1462,0
ta18,20,15,1377,1396,0
ta19,20,15,1332,1332,0
ta20,20,15,1348,1348,0
ta21,20,20,1642,1642,0
ta22,20,20,1561,1600,0
ta23,20,20,1518,1557,0
ta24,20,20,1644,1644,0
ta25,20,20,1558,1595,0
ta26,20,20,1591,1643,0
ta27,20,20,1652,1680,0
ta28,20,20,1603,1603,0
ta29,20,20,1573,1625,0
ta30,20,20,1519,1584,0
ta31,30,15,1764,1764,0
ta32,30,15,1774,1784,0
ta33,30,15,1788,1791,0
ta34,30,15,1828,1829,0
ta35,30,15,2007,2007,0
ta36,30,15,1819,1819,0
ta37,30,15,1771,1771,0
ta38,30,15,1673,1673,0
ta39,30,15,1795,1795,0
ta40,30,15,1651,1669,0
ta41,30,20,1906,2005,0
ta42,30,20,1884,1937,0
ta43,30,20,1809,1846,0
ta44,30,20,1948,1979,0
ta45,30,20,1997,2000,0
ta46,30,20,1957,2004,0
ta47,30,20,1807,1889,0
ta48,30,20,1912,1941,0
ta49,30,20,1931,1961,0
ta50,30,20,1833,1923,0
ta51,50,15,2760,2760,0
ta52,50,15,2756,2756,0
ta53,50,15,2717,2717,0
ta54,50,15,2839,2839,0
ta55,50,15,2679,2679,0
ta56,50,15,2781,2781,0
ta57,50,15,2943,2943,0
ta58,50,15,2885,2885,0
ta59,50,15,2655,2655,0
ta60,50,15,2723,2723,0
ta61,50,20,2868,2868,0
ta62,50,20,2869,2869,0
ta63,50,20,2755,2755,0
ta64,50,20,2702,2702,0
ta65,50,20,2725,2725,0
ta66,50,20,2845,2845,0
ta67,50,20,2825,2825,0
ta68,50,20,2784,2784,0
ta69,50,20,3071,3071,0
ta70,50,20,2995,2995,0
ta71,100,20,5464,5464,0
ta72,100,20,5181,5181,0
ta73,100,20,5568,5568,0
ta74,100,20,5339,5339,0
ta75,100,20,5392,5392,0
ta76,100,20,5342,5342,0
ta77,100,20,5436,5436,0
ta78,100,20,5394,5394,0
ta79,100,20,5358,5358,0
ta80,100,20,5183,5183,0
yn1,20,20,884,884,0
yn2,20,20,870,904,0
yn3,20,20,859,892,0
yn4,20,20,929,968,0
