instance,n.runs,best.f.min,best.f.max,best.f.mean,best.f.sd,best.f.med,last.improvement.time.min
ft10,30,930,930,930,0,930,5310
la16,30,945,945,945,0,945,60
la17,30,784,784,784,0,784,160
la18,30,848,848,848,0,848,210
la19,30,842,842,842,0,842,100
la20,30,902,902,902,0,902,70
orb01,30,1059,1059,1059,0,1059,230
orb02,30,888,888,888,0,888,280
orb03,30,1005,1005,1005,0,1005,1840
orb04,30,1005,1005,1005,0,1005,100
orb05,30,887,887,887,0,887,1760
orb06,30,1010,1010,1010,0,1010,15670
orb07,30,397,397,397,0,397,80
orb08,30,899,899,899,0,899,380
orb09,30,934,934,934,0,934,10210
orb10,30,944,944,944,0,944,7470
abz5,30,1234,1234,1234,0,1234,11040
abz6,30,943,943,943,0,943,9370
la36,30,1268,1268,1268,0,1268,313000
la37,30,1397,1397,1397,0,1397,1084000
la38,30,1196,1196,1196,0,1196,115900
la39,30,1233,1233,1233,0,1233,295000
la40,30,1222,1224,1224,0.84,1224,2877000
ta01,30,1231,1231,1231,0,1231,234000
ta02,30,1244,1244,1244,0,1244,113000
ta03,30,1218,1221,1219,1.27,1218,2353000
ta04,30,1175,1175,1175,0,1175,61600
ta05,30,1224,1227,1225,1.55,1224,4065000
ta06,30,1238,1240,1239,0.84,1240,4216000
ta07,30,1228,1228,1228,0,1228,59000
ta08,30,1217,1217,1217,0,1217,62000
ta09,30,1274,1280,1276,3.1,1274,447000
ta10,30,1241,1241,1241,0,1241,66000
dmu06,30,3268,3381,3283,5.25,3285,29868000
dmu07,30,3064,3223,3083,12.62,3084,83791000
dmu08,30,3188,3385,3208,9.06,3209,1836000
dmu09,30,3109,3231,3139,8.36,3140,2379000
dmu10,30,2987,3084,3004,9.63,3004,2813000
dmu46,30,4099,4189,4115,11.36,4116,9973000
yn1,30,886,905,890,0.42,890,13794000
yn2,30,907,930,907,0.004,907,6502000
yn3,30,892,915,895,1.43,895,4548000
yn4,30,969,990,970,0.67,970,46328000
